Temperature,Humidity,Wind,Pressure,Cloud Cover,Precipitation
44.5,22,23.4,1040.5,24,49
42.4,65,27.3,1008.5,47,83
28.2,74,11.5,1033.4,64,15
16.2,94,18.9,990.1,52,75
25.9,83,12.9,980.6,66,76
39.8,64,13.1,981.4,89,38
36.0,45,9.3,1021.1,17,88
28.8,96,22.9,1011.9,8,45
16.7,84,28.1,1016.3,37,95
27.8,43,28.2,980.5,86,87
29.1,93,5.2,1009.6,20,46
42.9,54,26.2,1030.3,64,43
34.2,43,22.1,1011.0,20,8
24.3,47,7.6,1031.3,26,86
30.8,99,2.0,996.3,69,49
17.0,35,8.0,1036.9,43,76
44.2,78,27.4,1021.2,99,59
25.8,73,19.0,994.8,27,95
29.3,98,21.6,996.6,44,14
25.7,35,7.7,1024.0,16,35
35.5,34,21.6,1038.1,39,62
34.9,30,0.8,1009.1,2,68
36.5,84,11.3,998.1,75,85
23.0,98,18.8,1040.7,75,79
24.5,87,4.4,1026.8,65,40
18.8,62,24.7,1011.4,45,73
34.7,88,7.1,1014.2,85,23
16.2,32,19.6,994.3,86,81
32.9,29,12.2,1023.9,29,48
41.1,94,17.9,1005.1,68,17
41.7,60,3.2,1049.7,8,6
28.5,69,0.5,1013.6,84,3
28.8,90,27.3,1014.0,10,89
17.3,78,8.1,1019.6,68,68
35.1,58,24.6,1044.2,98,59
39.6,22,30.0,1036.1,90,54
22.3,95,6.3,1011.6,65,15
27.6,26,8.0,1030.3,87,98
40.2,68,19.9,1021.0,30,89
41.3,45,29.0,1014.5,32,81
22.3,52,27.5,993.5,38,28
31.5,67,15.1,1012.5,93,22
20.8,98,23.9,997.2,45,13
18.1,21,4.1,1044.0,36,78
42.3,90,29.3,1003.5,91,48
39.6,51,28.9,1046.7,59,32
37.8,23,4.9,1017.3,30,24
16.5,39,9.0,1024.2,10,20
40.3,55,3.0,1018.0,86,16
28.1,51,8.2,989.1,1,22
25.3,47,24.5,1006.3,26,56
31.4,96,11.3,986.9,98,80
17.7,20,2.7,1023.6,1,57
37.7,79,10.3,1011.3,20,13
32.5,75,29.4,1034.5,57,92
20.6,54,18.9,995.4,4,19
20.6,49,12.5,991.5,51,29
20.5,73,5.0,1008.4,44,18
16.7,55,29.6,1044.9,84,52
32.6,74,24.6,1029.7,92,55
40.2,99,8.4,1009.3,19,76
15.5,77,2.1,1016.2,60,81
16.5,84,1.7,985.9,37,22
32.2,88,3.6,1048.9,19,61
39.6,70,17.4,1026.6,24,32
24.8,41,27.9,1000.0,1,17
25.5,72,14.9,1021.0,31,72
32.9,55,25.3,987.7,25,32
23.2,87,13.4,1047.6,69,31
15.8,55,21.3,992.2,40,60
37.1,71,22.0,1025.4,66,53
33.8,72,5.2,997.2,96,16
32.4,69,10.8,1030.2,0,18
37.3,99,19.1,1034.4,50,90
35.3,60,2.1,1027.1,4,69
21.2,37,10.8,1023.0,12,98
25.6,41,16.0,1042.5,18,33
18.8,85,29.9,985.5,11,83
18.9,40,14.2,1003.2,47,24
35.3,63,24.5,997.4,24,67
40.8,66,13.0,1049.2,56,73
43.9,58,23.9,1007.3,34,73
33.9,48,17.9,1031.3,75,87
20.5,73,26.6,1027.9,93,84
18.2,36,12.3,994.8,4,10
39.4,99,18.1,996.7,97,90
32.4,79,18.9,999.7,21,15
33.5,50,12.5,1008.8,76,89
38.4,92,4.3,996.4,56,60
36.1,97,2.8,981.4,46,93
40.0,68,0.5,1041.6,53,79
16.7,21,26.2,1047.6,2,6
37.4,67,7.1,1003.9,52,15
40.5,33,6.3,1003.7,83,98
23.6,78,22.1,980.5,30,15
34.2,77,9.6,1027.6,68,39
24.4,77,15.2,1037.8,87,11
43.7,70,4.9,990.3,32,34
16.0,21,28.8,991.2,71,20
32.4,60,25.5,1035.3,87,49
